Air Force Blue (Raf),#5d8aa8
Air Force Blue (Usaf),#00308f
Air Superiority Blue,#72a0c1
Alabama Crimson,#a32638
Alice Blue,#f0f8ff
Alizarin Crimson,#e32636
Alloy Orange,#c46210
Almond,#efdecd
Amaranth,#e52b50
Amber,#ffbf00
Amber (Sae/Ece),#ff7e00
American Rose,#ff033e
Amethyst,#96c
Android Green,#a4c639
Anti-Flash White,#f2f3f4
Antique Brass,#cd9575
Antique Fuchsia,#915c83
Antique Ruby,#841b2d
Antique White,#faebd7
Ao (English),#008000
Apple Green,#8db600
Apricot,#fbceb1
Aqua,#0ff
Aquamarine,#7fffd4
Army Green,#4b5320
Arsenic,#3b444b
Arylide Yellow,#e9d66b
Ash gray,#b2beb5
Asparagus,#87a96b
Atomic Tangerine,#f96
Auburn,#a52a2a
Aureolin,#fdee00
Aurometalsaurus,#6e7f80
Avocado,#568203
Azure,#007fff
Azure Mist/Web,#f0ffff
Baby Blue,#89cff0
Baby Blue Eyes,#a1caf1
Baby Pink,#f4c2c2
Ball Blue,#21abcd
Banana Mania,#fae7b5
Banana Yellow,#ffe135
Barn Red,#7c0a02
Battleship gray,#848482
Bazaar,#98777b
Beau Blue,#bcd4e6
Beaver,#9f8170
Beige,#f5f5dc
Big Dip O’Ruby,#9c2542
Bisque,#ffe4c4
Bistre,#3d2b1f
Bittersweet,#fe6f5e
Bittersweet Shimmer,#bf4f51
Black,#000
Black Bean,#3d0c02
Black Leather Jacket,#253529
Black Olive,#3b3c36
Blanched Almond,#ffebcd
Blast-Off Bronze,#a57164
Bleu De France,#318ce7
Blizzard Blue,#ace5ee
Blond,#faf0be
Blue,#00f
Blue Bell,#a2a2d0
Blue (Crayola),#1f75fe
Blue Gray,#69c
Blue-Green,#0d98ba
Blue (Munsell),#0093af
Blue (Ncs),#0087bd
Blue (Pigment),#339
Blue (Ryb),#0247fe
Blue Sapphire,#126180
Blue-Violet,#8a2be2
Blush,#de5d83
Bole,#79443b
Bondi Blue,#0095b6
Bone,#e3dac9
Boston University Red,#c00
Bottle Green,#006a4e
Boysenberry,#873260
Brandeis Blue,#0070ff
Brass,#b5a642
Brick Red,#cb4154
Bright Cerulean,#1dacd6
Bright Green,#6f0
Bright Lavender,#bf94e4
Bright Maroon,#c32148
Bright Pink,#ff007f
Bright Turquoise,#08e8de
Bright Ube,#d19fe8
Brilliant Lavender,#f4bbff
Brilliant Rose,#ff55a3
Brink Pink,#fb607f
British Racing Green,#004225
Bronze,#cd7f32
Brown (Traditional),#964b00
Brown (Web),#a52a2a
Bubble Gum,#ffc1cc
Bubbles,#e7feff
Buff,#f0dc82
Bulgarian Rose,#480607
Burgundy,#800020
Burlywood,#deb887
Burnt Orange,#c50
