lpips_1,lpips_2_A,lpips_2_B
"0.1342262625694275, 0.12816627323627472, 0.12356443703174591, 0.11915196478366852, 0.11620433628559113, 0.11072488129138947, 0.10887818783521652, 0.10556347668170929, 0.10732768476009369, 0.12264907360076904","0.1342262625694275, 0.13290110230445862, 0.14018185436725616, 0.15857237577438354, 0.19424650073051453, 0.21773098409175873, 0.2376667559146881, 0.2517489790916443, 0.2625264823436737, 0.2748294770717621","0.2841956317424774, 0.2673170864582062, 0.25129085779190063, 0.22922095656394958, 0.19681328535079956, 0.1689586639404297, 0.14774158596992493, 0.13089799880981445, 0.12322337180376053, 0.12264907360076904"
"0.09924440830945969, 0.06578151136636734, 0.04520896449685097, 0.03316451609134674, 0.029773103073239326, 0.03737447038292885, 0.057479895651340485, 0.08082602918148041, 0.10808433592319489, 0.1344214528799057","0.09924440830945969, 0.07954905927181244, 0.1057293564081192, 0.19008634984493256, 0.25398126244544983, 0.2741086483001709, 0.3239351212978363, 0.3894423842430115, 0.44593116641044617, 0.49043652415275574","0.4093606770038605, 0.4336680769920349, 0.43791040778160095, 0.44652438163757324, 0.35307613015174866, 0.24705000221729279, 0.18534334003925323, 0.15185430645942688, 0.13514192402362823, 0.1344214528799057"
"0.1558486819267273, 0.15160520374774933, 0.1382512003183365, 0.11299589276313782, 0.09044945240020752, 0.06783219426870346, 0.04510263726115227, 0.035191189497709274, 0.03009865991771221, 0.02508191391825676","0.1558486819267273, 0.17480197548866272, 0.20415030419826508, 0.24018210172653198, 0.27086499333381653, 0.3021000325679779, 0.3341566324234009, 0.36312252283096313, 0.3909408450126648, 0.4157201051712036","0.3385309875011444, 0.289427787065506, 0.2430707961320877, 0.20251208543777466, 0.15876969695091248, 0.11902602016925812, 0.08467569947242737, 0.05566539242863655, 0.035209186375141144, 0.02508191391825676"
"0.0447232760488987, 0.04270389676094055, 0.040387365967035294, 0.03942294418811798, 0.03828537091612816, 0.03320353105664253, 0.030156459659337997, 0.026445893570780754, 0.022363532334566116, 0.016729209572076797","0.0447232760488987, 0.049022894352674484, 0.07522864639759064, 0.13243511319160461, 0.22234928607940674, 0.30274099111557007, 0.31126001477241516, 0.3354213833808899, 0.3629743754863739, 0.3892427086830139","0.437059611082077, 0.3850069046020508, 0.33640745282173157, 0.285722553730011, 0.24219003319740295, 0.21050304174423218, 0.12964433431625366, 0.081608846783638, 0.043455515056848526, 0.016729209572076797"
"0.2836858630180359, 0.23014017939567566, 0.18892695009708405, 0.16048631072044373, 0.13362452387809753, 0.11089827120304108, 0.09687937796115875, 0.08413192629814148, 0.07692703604698181, 0.07481097429990768","0.2836858630180359, 0.253841757774353, 0.2375926524400711, 0.23953454196453094, 0.261278361082077, 0.2979443669319153, 0.3445415198802948, 0.3908889591693878, 0.4393143057823181, 0.4828932583332062","0.4428001046180725, 0.3881150186061859, 0.33157676458358765, 0.26812800765037537, 0.20277832448482513, 0.1519796997308731, 0.114805668592453, 0.09591838717460632, 0.08159691840410233, 0.07481097429990768"
"0.045769624412059784, 0.04841754958033562, 0.07129435986280441, 0.08782116323709488, 0.08868493139743805, 0.07999855279922485, 0.06954686343669891, 0.05846593156456947, 0.046968813985586166, 0.036844901740550995","0.045769624412059784, 0.04823487997055054, 0.057587623596191406, 0.07904564589262009, 0.10583323240280151, 0.1336442083120346, 0.16135428845882416, 0.18372759222984314, 0.20327064394950867, 0.22118377685546875","0.2884939908981323, 0.2535187602043152, 0.21902289986610413, 0.186517134308815, 0.15394598245620728, 0.12274163961410522, 0.09545361995697021, 0.07146906107664108, 0.05124876648187637, 0.036844901740550995"
"0.033898431807756424, 0.0253169946372509, 0.017470981925725937, 0.013736366294324398, 0.013292652554810047, 0.013989675790071487, 0.015648873522877693, 0.017458105459809303, 0.021001821383833885, 0.025145484134554863","0.033898431807756424, 0.03575872629880905, 0.03968702629208565, 0.04561172425746918, 0.05411137640476227, 0.0671517625451088, 0.08738332986831665, 0.11078044027090073, 0.13566812872886658, 0.17750878632068634","0.17717795073986053, 0.16050496697425842, 0.14365340769290924, 0.12671661376953125, 0.10798580944538116, 0.09033137559890747, 0.07254578918218613, 0.05572674795985222, 0.03574994578957558, 0.025145484134554863"
"0.040213532745838165, 0.04041105508804321, 0.043130092322826385, 0.0503544881939888, 0.05357709154486656, 0.04862058535218239, 0.04382840171456337, 0.03948055952787399, 0.043531425297260284, 0.06192730739712715","0.040213532745838165, 0.05310099571943283, 0.0749286487698555, 0.10109997540712357, 0.13153484463691711, 0.1685676872730255, 0.20368504524230957, 0.24439497292041779, 0.28684964776039124, 0.3265497088432312","0.34341832995414734, 0.3011088967323303, 0.2697467803955078, 0.2438122034072876, 0.21648624539375305, 0.1870344579219818, 0.15655604004859924, 0.12689533829689026, 0.09585326164960861, 0.06192730739712715"
"0.005039322655647993, 0.0061423745937645435, 0.009059417992830276, 0.012725424021482468, 0.01692602038383484, 0.02420974150300026, 0.0410609245300293, 0.07020169496536255, 0.10414279252290726, 0.15651965141296387","0.005039322655647993, 0.014675460755825043, 0.05078347027301788, 0.11001180112361908, 0.17385780811309814, 0.276058554649353, 0.3720959722995758, 0.4528665542602539, 0.4630241096019745, 0.4521845281124115","0.4372066259384155, 0.42043545842170715, 0.40081897377967834, 0.39137446880340576, 0.37751305103302, 0.3689453899860382, 0.32451727986335754, 0.22307361662387848, 0.18656031787395477, 0.15651965141296387"
"0.11715415120124817, 0.08253074437379837, 0.07131213694810867, 0.078451007604599, 0.09357950836420059, 0.10916151851415634, 0.13190051913261414, 0.16013535857200623, 0.19779950380325317, 0.2389538586139679","0.11715415120124817, 0.13077370822429657, 0.16714975237846375, 0.2647967040538788, 0.36479124426841736, 0.3701798915863037, 0.3600277602672577, 0.36267638206481934, 0.37251171469688416, 0.3851351737976074","0.4270215630531311, 0.4174787104129791, 0.4156472086906433, 0.4230285584926605, 0.34966132044792175, 0.2989758551120758, 0.2572961449623108, 0.23839639127254486, 0.22942858934402466, 0.2389538586139679"
"0.07595963776111603, 0.07909955084323883, 0.07686185091733932, 0.07469146698713303, 0.07850703597068787, 0.08797521889209747, 0.09996918588876724, 0.1149335503578186, 0.13162656128406525, 0.1467909812927246","0.07595963776111603, 0.07282982021570206, 0.08216392993927002, 0.09267681837081909, 0.10431869328022003, 0.11931218951940536, 0.13468539714813232, 0.1496298462152481, 0.1650996059179306, 0.18080493807792664","0.3414723575115204, 0.3017522692680359, 0.2708968222141266, 0.24558565020561218, 0.22631651163101196, 0.2106567770242691, 0.19610625505447388, 0.18139895796775818, 0.16391560435295105, 0.1467909812927246"
"0.2621346116065979, 0.24261178076267242, 0.229073166847229, 0.22259914875030518, 0.21725520491600037, 0.2135578840970993, 0.19652947783470154, 0.1782844513654709, 0.1616450846195221, 0.14414288103580475","0.2621346116065979, 0.2535973787307739, 0.25077301263809204, 0.2519019842147827, 0.26107776165008545, 0.2758086621761322, 0.29013344645500183, 0.30494922399520874, 0.3226683735847473, 0.3395006060600281","0.3394397795200348, 0.3236963450908661, 0.30940866470336914, 0.29358717799186707, 0.2752021551132202, 0.25690919160842896, 0.2365746647119522, 0.2116921842098236, 0.1806022822856903, 0.14414288103580475"
"0.035334985703229904, 0.030709754675626755, 0.02764042839407921, 0.026926996186375618, 0.02663862146437168, 0.029217630624771118, 0.03441696614027023, 0.04021202027797699, 0.04596616327762604, 0.04950472339987755","0.035334985703229904, 0.029958993196487427, 0.0304841510951519, 0.03996744379401207, 0.059372395277023315, 0.08588674664497375, 0.11813291162252426, 0.16135962307453156, 0.24960243701934814, 0.3907621502876282","0.41427505016326904, 0.3893391788005829, 0.3626754879951477, 0.3325694799423218, 0.30201956629753113, 0.26870468258857727, 0.22999456524848938, 0.16643992066383362, 0.10121743381023407, 0.04950472339987755"
