t1,t2,mse_1,mse_2_A,mse_2_B
matte amethyst,dark paint,"32.233253717422485, 23.884300708770752, 18.16993260383606, 17.85722851753235, 23.34419274330139, 34.41965103149414, 48.78308057785034, 55.70194053649902, 56.76410531997681, 54.90703725814819","32.233253717422485, 45.48105478286743, 54.4764838218689, 54.1945595741272, 59.57006525993347, 64.07987523078918, 61.744073152542114, 53.84386920928955, 56.314011335372925, 63.41597628593445","57.71835231781006, 57.603904485702515, 58.881542444229126, 59.34817385673523, 60.762142181396484, 60.353299617767334, 61.33704233169556, 60.983200788497925, 60.80050992965698, 54.90703725814819"
polished bamboo,blurry malachite,"35.25940656661987, 37.92990803718567, 36.36697554588318, 32.880797147750854, 28.64053201675415, 25.45772099494934, 25.682053089141846, 28.985427141189575, 32.45118832588196, 36.24072074890137","35.25940656661987, 37.42164468765259, 39.845542669296265, 43.04512286186218, 49.90580677986145, 53.779364347457886, 53.55852222442627, 53.62840151786804, 55.06882905960083, 55.13359785079956","54.02131986618042, 53.78251838684082, 52.183727979660034, 48.408517599105835, 50.21203112602234, 42.60195469856262, 37.04644584655762, 35.040810346603394, 32.00933885574341, 36.24072074890137"
cloudy sandpaper,coarse emerald,"54.3421413898468, 49.80472803115845, 19.27348780632019, 11.09372878074646, 32.614177227020264, 62.29831004142761, 64.64716911315918, 54.48723125457764, 63.75893306732178, 60.30271077156067","54.3421413898468, 55.70488882064819, 54.31388735771179, 54.31046533584595, 50.17622756958008, 51.49851632118225, 54.12765574455261, 55.770402908325195, 51.96122765541077, 51.55630016326904","55.29615259170532, 53.3732635974884, 51.86208629608154, 54.09674286842346, 57.19953370094299, 56.3621563911438, 52.741297245025635, 51.316394567489624, 53.255725383758545, 60.30271077156067"
polished terracotta,metallic brass,"40.33205485343933, 38.240431785583496, 37.382946252822876, 36.300764083862305, 32.25951838493347, 23.75773334503174, 53.33300232887268, 60.338714599609375, 57.85791873931885, 62.41227340698242","40.33205485343933, 40.09598088264465, 40.32194757461548, 40.731446504592896, 41.39712691307068, 42.32578802108765, 43.40894865989685, 45.00011396408081, 46.982495069503784, 49.08342099189758","60.381972312927246, 60.161240100860596, 59.29328179359436, 59.29453372955322, 61.27317953109741, 62.552814245224, 61.98188638687134, 60.912445306777954, 62.357977867126465, 62.41227340698242"
light emerald,dull paint,"61.12623977661133, 63.00935125350952, 60.83916234970093, 63.392871141433716, 63.41621470451355, 57.49931883811951, 51.17521643638611, 59.54186964035034, 60.874255895614624, 65.41423296928406","61.12623977661133, 64.72064542770386, 62.5361807346344, 59.30469560623169, 62.50214171409607, 65.29871392250061, 62.99992060661316, 55.715826749801636, 49.16561579704285, 46.674447774887085","56.26653718948364, 36.86776256561279, 57.76168179512024, 59.8408842086792, 62.50736737251282, 61.048070192337036, 57.56835627555847, 63.1874840259552, 64.31479525566101, 65.41423296928406"
blurry malachite,glossy silicon,"56.07525968551636, 56.328566789627075, 55.09162950515747, 53.58622598648071, 54.14488196372986, 55.36107802391052, 54.799371004104614, 52.33785128593445, 49.78956460952759, 48.082170486450195","56.07525968551636, 56.36172699928284, 55.75635480880737, 54.30489683151245, 53.95430040359497, 51.90292501449585, 49.15744614601135, 46.59807372093201, 42.84641361236572, 42.653125286102295","56.82560634613037, 57.47844576835632, 57.63591814041138, 57.85445547103882, 56.67726421356201, 57.32679843902588, 53.87312340736389, 47.349250078201294, 43.17363357543945, 48.082170486450195"
smooth terracotta,glossy ruby,"47.5808584690094, 47.36324739456177, 42.48164987564087, 37.20967721939087, 39.03949761390686, 44.63665294647217, 49.592329263687134, 54.38815522193909, 56.13861584663391, 56.24804067611694","47.5808584690094, 46.518322467803955, 42.711450815200806, 41.6463258266449, 43.38127660751343, 46.028234243392944, 48.941619634628296, 52.56152963638306, 54.14418148994446, 53.606467723846436","53.181830167770386, 51.94744300842285, 51.026381731033325, 50.18251967430115, 50.747690200805664, 51.07452178001404, 51.406378507614136, 51.31473684310913, 51.306411027908325, 56.24804067611694"
reflective sandstone,dark sandstone,"27.084107398986816, 27.301005840301514, 29.50235152244568, 31.939521074295044, 34.22872805595398, 35.925777435302734, 36.80835294723511, 36.97853636741638, 36.20000743865967, 34.65913701057434","27.084107398986816, 11.75905990600586, 31.983429670333862, 46.30325365066528, 55.86617159843445, 59.31558680534363, 61.07011079788208, 58.36336302757263, 60.78508925437927, 61.19982409477234","58.063005447387695, 59.24411630630493, 60.64359974861145, 60.50636339187622, 59.54803395271301, 62.121837854385376, 60.463857650756836, 60.12776732444763, 54.155614137649536, 34.65913701057434"
smooth paint,slick marble,"53.239766359329224, 51.95351982116699, 47.90472936630249, 35.9519624710083, 5.208162307739258, 36.22503137588501, 53.38522243499756, 56.805612564086914, 60.02842307090759, 60.3302059173584","53.239766359329224, 63.79195833206177, 61.253660678863525, 60.28470516204834, 50.744253635406494, 53.99427390098572, 56.63429403305054, 58.159722328186035, 58.497905015945435, 56.8399875164032","61.49466514587402, 62.09461236000061, 61.62969374656677, 62.05624604225159, 61.4966824054718, 59.57592821121216, 59.703208208084106, 45.49593949317932, 57.13770866394043, 60.3302059173584"
dark silicon,slick marble,"57.83036184310913, 57.079306840896606, 56.17103910446167, 43.97535943984985, 33.254526138305664, 51.18690013885498, 57.18055725097656, 60.58534216880798, 62.495497941970825, 56.036489486694336","57.83036184310913, 57.79873967170715, 57.731306314468384, 57.72396206855774, 57.98580193519592, 58.27307105064392, 58.00805711746216, 57.99191975593567, 58.917821168899536, 58.464277267456055","55.46641778945923, 57.77785277366638, 58.50132203102112, 59.1831157207489, 57.39163327217102, 56.234870195388794, 56.87952136993408, 56.71869492530823, 55.598644495010376, 56.036489486694336"
